Year,population,Violent crime,Property crime,Murder and non-negligent man-slaughter,Forcible rape,Robbery,Aggravated assault,Burglary,Larceny-theft,Motor vehicle theft
1981,229465714,1361820,12061900,22520,82500,592910,663900,3779700,7194400,1087800
1982,231664458,1322390,11652000,21010,78770,553130,669480,3447100,7142500,1062400
1983,233791994,1258087,10850543,19308,78918,506567,653294,3129851,6712759,1007933
1984,235824902,1273282,10608473,18692,84233,485008,685349,2984434,6591874,1032165
1985,237923795,1327767,11102590,18976,87671,497874,723246,3073348,6926380,1102862
1986,240132887,1489169,11722700,20613,91459,542775,834322,3241410,7257153,1224137
1987,242288918,1483999,12024709,20096,91111,517704,855088,3236184,7499851,1288674
1988,244498982,1566221,12356865,20675,92486,542968,910092,3218077,7705872,1432916
1989,246819230,1646037,12605412,21500,94504,578326,951707,3168170,7872442,1564800
1990,249464396,1820127,12655486,23438,102555,639271,1054863,3073909,7945670,1635907
1991,252153092,1911767,12961116,24703,106593,687732,1092739,3157150,8142228,1661738
1992,255029699,1932274,12505917,23760,109062,672478,1126974,2979884,7915199,1610834
1993,257782608,1926017,12218777,24526,106014,659870,1135607,2834808,7820909,1563060
1994,260327021,1857670,12131873,23326,102216,618949,1113179,2712774,7879812,1539287
1995,262803276,1798792,12063935,21606,97470,580509,1099207,2593784,7997710,1472441
1996,265228572,1688540,11805323,19645,96252,535594,1037049,2506400,7904685,1394238
1997,267783607,1636096,11558475,18208,96153,498534,1023201,2460526,7743760,1354189
1998,270248003,1533887,10951827,16974,93144,447186,976583,2332735,7376311,1242781
1999,272690813,1426044,10208334,15522,89411,409371,911740,2100739,6955520,1152075
2000,281421906,1425486,10182584,15586,90178,408016,911706,2050992,6971590,1160002
2001,285317559,1439480,10437189,16037,90863,423557,909023,2116531,7092267,1228391
2002,287973924,1423677,10455277,16229,95235,420806,891407,2151252,7057379,1246646
2003,290788976,1383676,10442862,16528,93883,414235,859030,2154834,7026802,1261226
2004,293656842,1360088,10319386,16148,95089,401470,847381,2144446,6937089,1237851
2005,296507061,1390745,10174754,16740,94347,417438,862220,2155448,6783447,1235859
2006,299398484,1435123,10019601,17309,94472,449246,874096,2194993,6626363,1198245
2007,301621157,1422970,9882212,17128,92160,447324,866358,2190198,6591542,1100472
2008,304059724,1394461,9774152,16465,90750,443563,843683,2228887,6586206,959059
2009,307006550,1325896,9337060,15399,89241,408742,812514,2203313,6338095,795652
2010,309330219,1251248,9112625,14722,85593,369089,781844,2168459,6204601,739565
2011,311587816,1206005,9052743,14661,84175,354746,752423,2185140,6151095,716508
2012,313873685,1217057,9001992,14856,85141,355051,762009,2109932,6168874,723186
2013,316497531,1168298,8651892,14319,82109,345093,726777,1932139,6019465,700288
2014,318907401,1153022,8209010,14164,84864,322905,731089,1713153,5809054,686803
2015,320896618,1199310,8024115,15883,91261,328109,764057,1587564,5723488,713063
2016,323405935,1250162,7928530,17413,96970,332797,802982,1516405,5644835,767290
2017,325147121,1247917,7682988,17294,99708,320596,810319,1397045,5513000,772943
2018,326687501,1209997,7219084,16374,101363,281278,810982,1235013,5232167,751904
2019,328239523,1203808,6925677,16425,98213,267988,821182,1117696,5086096,721885
